OPEN,HIGH,LOW,CLOSE,VOLUME,Close_Time,QUOTE_ASSET_VOLUME,NUMBER_TRADES,TAKER_BUY_BASE_ASSET_VOLUME,TAKER_BUY_QUOTE_ASSET_VOLUME,IGNORE,Date_column
"5393,26",6400,"5252,53","6162,37","199020,8734",1584662399999,1164739708,1403608,"99011,94701","579536547,8",0,19/03/2020 00:00:00
"50588,95",51200,48600,"50471,19","38425,92466",1639007999999,1925458787,1118225,"18126,84362","908410692,2",0,08/12/2021 00:00:00
"8184,97",8196,"8055,89","8110,34","31159,75568",1578959999999,"252656965,4",289144,"15215,2265","123407351,9",0,13/01/2020 00:00:00
"13761,49",13830,"13195,05","13549,37","64566,42191",1604361599999,"873629993,8",869850,"29243,23366","395698601,6",0,02/11/2020 00:00:00
9706,10250,"9576,01","10164,71","70604,12402",1582070399999,"696870122,8",723413,"37303,99633","368380176,6",0,18/02/2020 00:00:00
"10164,78",10250,9350,"9593,79","55162,5869",1582156799999,"547679966,9",588760,"25457,91648","253188749,1",0,19/02/2020 00:00:00
"9426,6",9740,"9331,23","9697,72","55665,27254",1590883199999,"530598690,1",651290,"29252,6799","279016030,1",0,30/05/2020 00:00:00
"48746,81",49200,47070,"48882,2","44399,23424",1615075199999,2143910705,1476474,"21500,61562",1038365873,0,06/03/2021 00:00:00
"19422,61",19484,"19159,42","19310,95","165625,1396",1664668799999,3200350295,2470590,"82734,18388",1598688568,0,01/10/2022 00:00:00
"45901,3",47160,44376,"44695,95","57039,34163",1629244799999,2616339598,1781303,"27320,26181",1253906923,0,17/08/2021 00:00:00
"60328,81",61496,58000,"58413,44","62124,49016",1635379199999,3688306193,1913083,"29983,43122",1780494794,0,27/10/2021 00:00:00
"6876,84",7177,6780,"6903,79","73868,6665",1586735999999,"516235035,2",648323,"35637,95869","249206873,2",0,12/04/2020 00:00:00
"50399,67",51280,49412,"50775,49","22569,88914",1640563199999,1132200242,797133,"11285,69707","566374786,7",0,26/12/2021 00:00:00
"9116,16",9238,"9024,67","9192,56","42120,29326",1593475199999,"384206326,5",434299,"20449,0978","186542867,4",0,29/06/2020 00:00:00
"19401,63",19500,"18531,42","19289,91","385886,9183",1663977599999,7330336009,5906265,"194842,0877",3701394517,0,23/09/2022 00:00:00
"23342,66",23600,"23111,04","23191,2","144185,9701",1660867199999,3375338942,6029662,"71864,05086",1682458592,0,18/08/2022 00:00:00
"23492,09",23600,"23020,97","23141,57","264140,9989",1677628799999,6172930936,9568743,"131200,827",3066249881,0,28/02/2023 00:00:00
"46580,5",47200,"45353,81","45497,55","42192,74852",1649203199999,1951668193,1046080,"20607,57735","953494654,5",0,05/04/2022 00:00:00
"19426,43",21560,"19278,6","21335,52","114306,3356",1608163199999,2325135959,1659135,"61245,26238",1245917122,0,16/12/2020 00:00:00
"44865,26",45200,40675,"42810,57","84113,42629",1632527999999,3596718231,1819744,"41952,77658",1794510964,0,24/09/2021 00:00:00
"13111,73",13350,12888,"13028,83","38481,5795",1603670399999,"502672049,2",610498,"17988,7671","235115943,8",0,25/10/2020 00:00:00
"26516,99",26700,"26255,85","26339,97","21538,31022",1687132799999,"571013013,9",555956,"10367,07533","274864183,4",0,18/06/2023 00:00:00
"7539,03",7700,7480,"7693,1","50522,61621",1587945599999,"384202783,3",554480,"24707,49423","187939788,8",0,26/04/2020 00:00:00
"30688,51",30800,30250,"30527,43","30513,30135",1687651199999,"933244397,7",776343,"14497,56447","443500647,9",0,24/06/2023 00:00:00
28308,30800,"28257,99","29993,89","108926,4041",1687391999999,3210301129,1872873,"55846,96952",1646165465,0,21/06/2023 00:00:00
"6868,57",6933,6605,"6621,24","61571,38499",1586995199999,"416947490,6",581374,"29866,89225","202324176,2",0,15/04/2020 00:00:00
"6621,25",7190,"6468,27","7101,94","125009,8575",1587081599999,"865277543,4",971163,"63251,20433","438475139,1",0,16/04/2020 00:00:00
"8523,61",8750,8411,"8531,88","43892,20178",1583107199999,"375729315,3",472019,"21838,36887","186962259,7",0,01/03/2020 00:00:00
"10666,62",10798,"10615,64","10792,21","34025,76165",1601942399999,"364158510,2",483340,"15551,58439","166457546,9",0,05/10/2020 00:00:00
"23777,28",24668,"23502,25","23643,51","151060,1321",1659225599999,3634601095,4801528,"75778,59282",1823456272,0,30/07/2022 00:00:00
"10792,2",10800,10525,"10599,66","48674,74047",1602028799999,"520051256,1",734526,"23189,6899","247740447,6",0,06/10/2020 00:00:00
"16291,85",16480,"15952,35","16320,7","75691,88101",1605311999999,1230358611,1208773,"35301,73094","574048021,7",0,13/11/2020 00:00:00
7505,7705,"7431,07","7538,67","43874,42773",1587859199999,"331292050,8",521943,"21111,14095","159480178,4",0,25/04/2020 00:00:00
"9294,69",9780,"9277,09","9685,69","57895,46834",1592870399999,"550995799,1",588704,"30738,20038","292712778,1",0,22/06/2020 00:00:00
